,Notes,State,State Code,Year,Multiple Cause of death,Multiple Cause of death Code,Deaths,Population
0,,Alabama,1,1999.0,Opium,T40.0,Suppressed,4430141
1,,Alabama,1,1999.0,Heroin,T40.1,Suppressed,4430141
2,,Alabama,1,1999.0,Other opioids,T40.2,12,4430141
3,,Alabama,1,1999.0,Methadone,T40.3,16,4430141
4,,Alabama,1,1999.0,Other synthetic narcotics,T40.4,11,4430141
5,,Alabama,1,1999.0,Cocaine,T40.5,26,4430141
6,,Alabama,1,1999.0,Other and unspecified narcotics,T40.6,Suppressed,4430141
7,,Alabama,1,1999.0,Cannabis (derivatives),T40.7,Suppressed,4430141
8,,Alabama,1,1999.0,Lysergide [LSD],T40.8,Suppressed,4430141
9,,Alabama,1,1999.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,4430141
10,Total,Alabama,1,1999.0,,,70,4430141
11,,Alabama,1,2000.0,Opium,T40.0,Suppressed,4447100
12,,Alabama,1,2000.0,Heroin,T40.1,Suppressed,4447100
13,,Alabama,1,2000.0,Other opioids,T40.2,26,4447100
14,,Alabama,1,2000.0,Methadone,T40.3,13,4447100
15,,Alabama,1,2000.0,Other synthetic narcotics,T40.4,13,4447100
16,,Alabama,1,2000.0,Cocaine,T40.5,18,4447100
17,,Alabama,1,2000.0,Other and unspecified narcotics,T40.6,Suppressed,4447100
18,,Alabama,1,2000.0,Cannabis (derivatives),T40.7,Suppressed,4447100
19,,Alabama,1,2000.0,Lysergide [LSD],T40.8,Suppressed,4447100
20,,Alabama,1,2000.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,4447100
21,Total,Alabama,1,2000.0,,,73,4447100
22,,Alabama,1,2001.0,Opium,T40.0,Suppressed,4467634
23,,Alabama,1,2001.0,Heroin,T40.1,Suppressed,4467634
24,,Alabama,1,2001.0,Other opioids,T40.2,25,4467634
25,,Alabama,1,2001.0,Methadone,T40.3,31,4467634
26,,Alabama,1,2001.0,Other synthetic narcotics,T40.4,Suppressed,4467634
27,,Alabama,1,2001.0,Cocaine,T40.5,33,4467634
28,,Alabama,1,2001.0,Other and unspecified narcotics,T40.6,Suppressed,4467634
29,,Alabama,1,2001.0,Cannabis (derivatives),T40.7,Suppressed,4467634
30,,Alabama,1,2001.0,Lysergide [LSD],T40.8,Suppressed,4467634
31,,Alabama,1,2001.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,4467634
32,Total,Alabama,1,2001.0,,,106,4467634
33,,Alabama,1,2002.0,Opium,T40.0,Suppressed,4480089
34,,Alabama,1,2002.0,Heroin,T40.1,Suppressed,4480089
35,,Alabama,1,2002.0,Other opioids,T40.2,31,4480089
36,,Alabama,1,2002.0,Methadone,T40.3,36,4480089
37,,Alabama,1,2002.0,Other synthetic narcotics,T40.4,Suppressed,4480089
38,,Alabama,1,2002.0,Cocaine,T40.5,32,4480089
39,,Alabama,1,2002.0,Other and unspecified narcotics,T40.6,Suppressed,4480089
40,,Alabama,1,2002.0,Cannabis (derivatives),T40.7,Suppressed,4480089
41,,Alabama,1,2002.0,Lysergide [LSD],T40.8,Suppressed,4480089
42,,Alabama,1,2002.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,4480089
43,Total,Alabama,1,2002.0,,,117,4480089
44,,Alabama,1,2003.0,Opium,T40.0,Suppressed,4503491
45,,Alabama,1,2003.0,Heroin,T40.1,Suppressed,4503491
46,,Alabama,1,2003.0,Other opioids,T40.2,23,4503491
47,,Alabama,1,2003.0,Methadone,T40.3,28,4503491
48,,Alabama,1,2003.0,Other synthetic narcotics,T40.4,Suppressed,4503491
49,,Alabama,1,2003.0,Cocaine,T40.5,26,4503491
50,,Alabama,1,2003.0,Other and unspecified narcotics,T40.6,Suppressed,4503491
51,,Alabama,1,2003.0,Cannabis (derivatives),T40.7,Suppressed,4503491
52,,Alabama,1,2003.0,Lysergide [LSD],T40.8,Suppressed,4503491
53,,Alabama,1,2003.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,4503491
54,Total,Alabama,1,2003.0,,,89,4503491
55,,Alabama,1,2004.0,Opium,T40.0,Suppressed,4530729
56,,Alabama,1,2004.0,Heroin,T40.1,Suppressed,4530729
57,,Alabama,1,2004.0,Other opioids,T40.2,37,4530729
58,,Alabama,1,2004.0,Methadone,T40.3,51,4530729
59,,Alabama,1,2004.0,Other synthetic narcotics,T40.4,13,4530729
60,,Alabama,1,2004.0,Cocaine,T40.5,55,4530729
61,,Alabama,1,2004.0,Other and unspecified narcotics,T40.6,Suppressed,4530729
62,,Alabama,1,2004.0,Cannabis (derivatives),T40.7,Suppressed,4530729
63,,Alabama,1,2004.0,Lysergide [LSD],T40.8,Suppressed,4530729
64,,Alabama,1,2004.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,4530729
65,Total,Alabama,1,2004.0,,,168,4530729
66,,Alabama,1,2005.0,Opium,T40.0,Suppressed,4569805
67,,Alabama,1,2005.0,Heroin,T40.1,Suppressed,4569805
68,,Alabama,1,2005.0,Other opioids,T40.2,24,4569805
69,,Alabama,1,2005.0,Methadone,T40.3,49,4569805
70,,Alabama,1,2005.0,Other synthetic narcotics,T40.4,12,4569805
71,,Alabama,1,2005.0,Cocaine,T40.5,39,4569805
72,,Alabama,1,2005.0,Other and unspecified narcotics,T40.6,Suppressed,4569805
73,,Alabama,1,2005.0,Cannabis (derivatives),T40.7,Suppressed,4569805
74,,Alabama,1,2005.0,Lysergide [LSD],T40.8,Suppressed,4569805
75,,Alabama,1,2005.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,4569805
76,Total,Alabama,1,2005.0,,,133,4569805
77,,Alabama,1,2006.0,Opium,T40.0,Suppressed,4628981
78,,Alabama,1,2006.0,Heroin,T40.1,Suppressed,4628981
79,,Alabama,1,2006.0,Other opioids,T40.2,53,4628981
80,,Alabama,1,2006.0,Methadone,T40.3,69,4628981
81,,Alabama,1,2006.0,Other synthetic narcotics,T40.4,25,4628981
82,,Alabama,1,2006.0,Cocaine,T40.5,60,4628981
83,,Alabama,1,2006.0,Other and unspecified narcotics,T40.6,Suppressed,4628981
84,,Alabama,1,2006.0,Cannabis (derivatives),T40.7,Suppressed,4628981
85,,Alabama,1,2006.0,Lysergide [LSD],T40.8,Suppressed,4628981
86,,Alabama,1,2006.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,4628981
87,Total,Alabama,1,2006.0,,,215,4628981
88,,Alabama,1,2007.0,Opium,T40.0,Suppressed,4672840
89,,Alabama,1,2007.0,Heroin,T40.1,Suppressed,4672840
90,,Alabama,1,2007.0,Other opioids,T40.2,67,4672840
91,,Alabama,1,2007.0,Methadone,T40.3,90,4672840
92,,Alabama,1,2007.0,Other synthetic narcotics,T40.4,21,4672840
93,,Alabama,1,2007.0,Cocaine,T40.5,38,4672840
94,,Alabama,1,2007.0,Other and unspecified narcotics,T40.6,Suppressed,4672840
95,,Alabama,1,2007.0,Cannabis (derivatives),T40.7,Suppressed,4672840
96,,Alabama,1,2007.0,Lysergide [LSD],T40.8,Suppressed,4672840
97,,Alabama,1,2007.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,4672840
98,Total,Alabama,1,2007.0,,,229,4672840
99,,Alabama,1,2008.0,Opium,T40.0,Suppressed,4718206
100,,Alabama,1,2008.0,Heroin,T40.1,Suppressed,4718206
101,,Alabama,1,2008.0,Other opioids,T40.2,78,4718206
102,,Alabama,1,2008.0,Methadone,T40.3,106,4718206
103,,Alabama,1,2008.0,Other synthetic narcotics,T40.4,19,4718206
104,,Alabama,1,2008.0,Cocaine,T40.5,57,4718206
105,,Alabama,1,2008.0,Other and unspecified narcotics,T40.6,Suppressed,4718206
106,,Alabama,1,2008.0,Cannabis (derivatives),T40.7,Suppressed,4718206
107,,Alabama,1,2008.0,Lysergide [LSD],T40.8,Suppressed,4718206
108,,Alabama,1,2008.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,4718206
109,Total,Alabama,1,2008.0,,,273,4718206
110,,Alabama,1,2009.0,Opium,T40.0,Suppressed,4757938
111,,Alabama,1,2009.0,Heroin,T40.1,12,4757938
112,,Alabama,1,2009.0,Other opioids,T40.2,95,4757938
113,,Alabama,1,2009.0,Methadone,T40.3,89,4757938
114,,Alabama,1,2009.0,Other synthetic narcotics,T40.4,31,4757938
115,,Alabama,1,2009.0,Cocaine,T40.5,41,4757938
116,,Alabama,1,2009.0,Other and unspecified narcotics,T40.6,Suppressed,4757938
117,,Alabama,1,2009.0,Cannabis (derivatives),T40.7,Suppressed,4757938
118,,Alabama,1,2009.0,Lysergide [LSD],T40.8,Suppressed,4757938
119,,Alabama,1,2009.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,4757938
120,Total,Alabama,1,2009.0,,,273,4757938
121,,Alabama,1,2010.0,Opium,T40.0,Suppressed,4779736
122,,Alabama,1,2010.0,Heroin,T40.1,Suppressed,4779736
123,,Alabama,1,2010.0,Other opioids,T40.2,84,4779736
124,,Alabama,1,2010.0,Methadone,T40.3,79,4779736
125,,Alabama,1,2010.0,Other synthetic narcotics,T40.4,37,4779736
126,,Alabama,1,2010.0,Cocaine,T40.5,32,4779736
127,,Alabama,1,2010.0,Other and unspecified narcotics,T40.6,14,4779736
128,,Alabama,1,2010.0,Cannabis (derivatives),T40.7,Suppressed,4779736
129,,Alabama,1,2010.0,Lysergide [LSD],T40.8,Suppressed,4779736
130,,Alabama,1,2010.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,4779736
131,Total,Alabama,1,2010.0,,,253,4779736
132,,Alabama,1,2011.0,Opium,T40.0,Suppressed,4802740
133,,Alabama,1,2011.0,Heroin,T40.1,14,4802740
134,,Alabama,1,2011.0,Other opioids,T40.2,95,4802740
135,,Alabama,1,2011.0,Methadone,T40.3,64,4802740
136,,Alabama,1,2011.0,Other synthetic narcotics,T40.4,21,4802740
137,,Alabama,1,2011.0,Cocaine,T40.5,29,4802740
138,,Alabama,1,2011.0,Other and unspecified narcotics,T40.6,11,4802740
