,State,Year,Multiple Cause of death,Population,Deaths,Crude Rate
0,Alabama,1999,Cocaine,4430141,26,0.59
1,Alabama,1999,Heroin,4430141,5,0.11
2,Alabama,1999,Methadone,4430141,16,0.36
3,Alabama,1999,Other narcotics,4430141,16,0.36
4,Alabama,1999,Other opioids,4430141,12,0.27
5,Alabama,2000,Cocaine,4447100,18,0.4
6,Alabama,2000,Heroin,4447100,5,0.11
7,Alabama,2000,Methadone,4447100,13,0.29
8,Alabama,2000,Other narcotics,4447100,18,0.4
9,Alabama,2000,Other opioids,4447100,26,0.58
10,Alabama,2001,Cocaine,4467634,33,0.74
11,Alabama,2001,Heroin,4467634,5,0.11
12,Alabama,2001,Methadone,4467634,31,0.69
13,Alabama,2001,Other narcotics,4467634,10,0.22
14,Alabama,2001,Other opioids,4467634,25,0.56
15,Alabama,2002,Cocaine,4480089,32,0.71
16,Alabama,2002,Heroin,4480089,5,0.11
17,Alabama,2002,Methadone,4480089,36,0.8
18,Alabama,2002,Other narcotics,4480089,10,0.22
19,Alabama,2002,Other opioids,4480089,31,0.69
20,Alabama,2003,Cocaine,4503491,26,0.58
21,Alabama,2003,Heroin,4503491,5,0.11
22,Alabama,2003,Methadone,4503491,28,0.62
23,Alabama,2003,Other narcotics,4503491,10,0.22
24,Alabama,2003,Other opioids,4503491,23,0.51
25,Alabama,2004,Cocaine,4530729,55,1.21
26,Alabama,2004,Heroin,4530729,5,0.11
27,Alabama,2004,Methadone,4530729,51,1.13
28,Alabama,2004,Other narcotics,4530729,18,0.4
29,Alabama,2004,Other opioids,4530729,37,0.82
30,Alabama,2005,Cocaine,4569805,39,0.85
31,Alabama,2005,Heroin,4569805,5,0.11
32,Alabama,2005,Methadone,4569805,49,1.07
33,Alabama,2005,Other narcotics,4569805,17,0.37
34,Alabama,2005,Other opioids,4569805,24,0.53
35,Alabama,2006,Cocaine,4628981,60,1.3
36,Alabama,2006,Heroin,4628981,5,0.11
37,Alabama,2006,Methadone,4628981,69,1.49
38,Alabama,2006,Other narcotics,4628981,30,0.65
39,Alabama,2006,Other opioids,4628981,53,1.14
40,Alabama,2007,Cocaine,4672840,38,0.81
41,Alabama,2007,Heroin,4672840,5,0.11
42,Alabama,2007,Methadone,4672840,90,1.93
43,Alabama,2007,Other narcotics,4672840,26,0.56
44,Alabama,2007,Other opioids,4672840,67,1.43
45,Alabama,2008,Cocaine,4718206,57,1.21
46,Alabama,2008,Heroin,4718206,5,0.11
47,Alabama,2008,Methadone,4718206,106,2.25
48,Alabama,2008,Other narcotics,4718206,24,0.51
49,Alabama,2008,Other opioids,4718206,78,1.65
50,Alabama,2009,Cocaine,4757938,41,0.86
51,Alabama,2009,Heroin,4757938,12,0.25
52,Alabama,2009,Methadone,4757938,89,1.87
53,Alabama,2009,Other narcotics,4757938,36,0.76
54,Alabama,2009,Other opioids,4757938,95,2.0
55,Alabama,2010,Cocaine,4779736,32,0.67
56,Alabama,2010,Heroin,4779736,5,0.1
57,Alabama,2010,Methadone,4779736,79,1.65
58,Alabama,2010,Other narcotics,4779736,51,1.07
59,Alabama,2010,Other opioids,4779736,84,1.76
60,Alabama,2011,Cocaine,4802740,29,0.6
61,Alabama,2011,Heroin,4802740,14,0.29
62,Alabama,2011,Methadone,4802740,64,1.33
63,Alabama,2011,Other narcotics,4802740,32,0.67
64,Alabama,2011,Other opioids,4802740,95,1.98
65,Alabama,2012,Cocaine,4822023,23,0.48
66,Alabama,2012,Heroin,4822023,36,0.75
67,Alabama,2012,Methadone,4822023,57,1.18
68,Alabama,2012,Other narcotics,4822023,28,0.58
69,Alabama,2012,Other opioids,4822023,70,1.45
70,Alabama,2013,Cocaine,4833722,39,0.81
71,Alabama,2013,Heroin,4833722,42,0.87
72,Alabama,2013,Methadone,4833722,44,0.91
73,Alabama,2013,Other narcotics,4833722,47,0.97
74,Alabama,2013,Other opioids,4833722,71,1.47
75,Alabama,2014,Cocaine,4849377,44,0.91
76,Alabama,2014,Heroin,4849377,125,2.58
77,Alabama,2014,Methadone,4849377,46,0.95
78,Alabama,2014,Other narcotics,4849377,64,1.32
79,Alabama,2014,Other opioids,4849377,95,1.96
80,Alabama,2015,Cocaine,4858979,44,0.91
81,Alabama,2015,Heroin,4858979,111,2.28
82,Alabama,2015,Methadone,4858979,43,0.88
83,Alabama,2015,Other narcotics,4858979,96,1.98
84,Alabama,2015,Other opioids,4858979,90,1.85
85,Alabama,2016,Cocaine,4863300,91,1.87
86,Alabama,2016,Heroin,4863300,129,2.65
87,Alabama,2016,Methadone,4863300,35,0.72
88,Alabama,2016,Other narcotics,4863300,171,3.52
89,Alabama,2016,Other opioids,4863300,99,2.04
90,Alabama,2017,Cocaine,4874747,126,2.58
91,Alabama,2017,Heroin,4874747,126,2.58
92,Alabama,2017,Methadone,4874747,33,0.68
93,Alabama,2017,Other narcotics,4874747,226,4.64
94,Alabama,2017,Other opioids,4874747,146,3.0
95,Alabama,2018,Cocaine,4887871,98,2.0
96,Alabama,2018,Heroin,4887871,140,2.86
97,Alabama,2018,Methadone,4887871,35,0.72
98,Alabama,2018,Other narcotics,4887871,163,3.33
99,Alabama,2018,Other opioids,4887871,129,2.64
100,Alabama,2019,Cocaine,4903185,109,2.22
101,Alabama,2019,Heroin,4903185,143,2.92
102,Alabama,2019,Methadone,4903185,33,0.67
103,Alabama,2019,Other narcotics,4903185,225,4.59
104,Alabama,2019,Other opioids,4903185,142,2.9
105,Alaska,1999,Cocaine,624779,13,2.08
106,Alaska,1999,Heroin,624779,5,0.8
107,Alaska,1999,Methadone,624779,5,0.8
108,Alaska,1999,Other narcotics,624779,10,1.6
109,Alaska,1999,Other opioids,624779,11,1.76
110,Alaska,2000,Cocaine,626932,14,2.23
111,Alaska,2000,Heroin,626932,5,0.8
112,Alaska,2000,Methadone,626932,5,0.8
113,Alaska,2000,Other narcotics,626932,10,1.6
114,Alaska,2000,Other opioids,626932,21,3.35
115,Alaska,2001,Cocaine,633714,5,0.79
116,Alaska,2001,Heroin,633714,5,0.79
117,Alaska,2001,Methadone,633714,5,0.79
118,Alaska,2001,Other narcotics,633714,10,1.58
119,Alaska,2001,Other opioids,633714,10,1.58
120,Alaska,2002,Cocaine,642337,5,0.78
121,Alaska,2002,Heroin,642337,5,0.78
122,Alaska,2002,Methadone,642337,5,0.78
123,Alaska,2002,Other narcotics,642337,10,1.56
124,Alaska,2002,Other opioids,642337,5,0.78
125,Alaska,2003,Cocaine,648414,10,1.54
126,Alaska,2003,Heroin,648414,5,0.77
127,Alaska,2003,Methadone,648414,5,0.77
128,Alaska,2003,Other narcotics,648414,10,1.54
129,Alaska,2003,Other opioids,648414,10,1.54
130,Alaska,2004,Cocaine,659286,5,0.76
131,Alaska,2004,Heroin,659286,5,0.76
132,Alaska,2004,Methadone,659286,5,0.76
133,Alaska,2004,Other narcotics,659286,10,1.52
134,Alaska,2004,Other opioids,659286,5,0.76
135,Alaska,2005,Cocaine,666946,11,1.65
136,Alaska,2005,Heroin,666946,5,0.75
137,Alaska,2005,Methadone,666946,5,0.75
138,Alaska,2005,Other narcotics,666946,10,1.5
139,Alaska,2005,Other opioids,666946,5,0.75
140,Alaska,2006,Cocaine,675302,14,2.07
141,Alaska,2006,Heroin,675302,5,0.74
142,Alaska,2006,Methadone,675302,11,1.63
143,Alaska,2006,Other narcotics,675302,10,1.48
144,Alaska,2006,Other opioids,675302,14,2.07
145,Alaska,2007,Cocaine,680300,11,1.62
146,Alaska,2007,Heroin,680300,5,0.73
147,Alaska,2007,Methadone,680300,5,0.73
148,Alaska,2007,Other narcotics,680300,10,1.47
149,Alaska,2007,Other opioids,680300,5,0.73
150,Alaska,2008,Cocaine,687455,29,4.22
151,Alaska,2008,Heroin,687455,5,0.73
152,Alaska,2008,Methadone,687455,30,4.36
153,Alaska,2008,Other narcotics,687455,19,2.76
154,Alaska,2008,Other opioids,687455,55,8.0
155,Alaska,2009,Cocaine,698895,28,4.01
156,Alaska,2009,Heroin,698895,5,0.72
157,Alaska,2009,Methadone,698895,21,3.0
158,Alaska,2009,Other narcotics,698895,27,3.86
159,Alaska,2009,Other opioids,698895,64,9.16
160,Alaska,2010,Cocaine,710231,19,2.68
161,Alaska,2010,Heroin,710231,5,0.7
162,Alaska,2010,Methadone,710231,28,3.94
163,Alaska,2010,Other narcotics,710231,16,2.25
164,Alaska,2010,Other opioids,710231,44,6.2
165,Alaska,2011,Cocaine,722718,13,1.8
166,Alaska,2011,Heroin,722718,12,1.66
167,Alaska,2011,Methadone,722718,18,2.49
168,Alaska,2011,Other narcotics,722718,10,1.38
169,Alaska,2011,Other opioids,722718,40,5.53
170,Alaska,2012,Cocaine,731449,22,3.01
171,Alaska,2012,Heroin,731449,23,3.14
172,Alaska,2012,Methadone,731449,10,1.37
173,Alaska,2012,Other narcotics,731449,10,1.37
174,Alaska,2012,Other opioids,731449,42,5.74
175,Alaska,2013,Cocaine,735132,13,1.77
176,Alaska,2013,Heroin,735132,24,3.26
177,Alaska,2013,Methadone,735132,5,0.68
178,Alaska,2013,Other narcotics,735132,17,2.31
179,Alaska,2013,Other opioids,735132,38,5.17
180,Alaska,2014,Cocaine,736732,11,1.49
181,Alaska,2014,Heroin,736732,25,3.39
182,Alaska,2014,Methadone,736732,12,1.63
183,Alaska,2014,Other narcotics,736732,29,3.94
184,Alaska,2014,Other opioids,736732,43,5.84
185,Alaska,2015,Cocaine,738432,12,1.63
186,Alaska,2015,Heroin,738432,39,5.28
187,Alaska,2015,Methadone,738432,10,1.35
188,Alaska,2015,Other narcotics,738432,34,4.6
189,Alaska,2015,Other opioids,738432,53,7.18
190,Alaska,2016,Cocaine,741894,17,2.29
191,Alaska,2016,Heroin,741894,51,6.87
192,Alaska,2016,Methadone,741894,17,2.29
193,Alaska,2016,Other narcotics,741894,36,4.85
194,Alaska,2016,Other opioids,741894,51,6.87
195,Alaska,2017,Cocaine,739795,18,2.43
196,Alaska,2017,Heroin,739795,38,5.14
197,Alaska,2017,Methadone,739795,5,0.68
198,Alaska,2017,Other narcotics,739795,65,8.79
199,Alaska,2017,Other opioids,739795,53,7.16
200,Alaska,2018,Cocaine,737438,11,1.49
201,Alaska,2018,Heroin,737438,32,4.34
202,Alaska,2018,Methadone,737438,13,1.76
203,Alaska,2018,Other narcotics,737438,45,6.1
204,Alaska,2018,Other opioids,737438,41,5.56
205,Alaska,2019,Cocaine,731545,14,1.91
206,Alaska,2019,Heroin,731545,47,6.42
207,Alaska,2019,Methadone,731545,14,1.91
208,Alaska,2019,Other narcotics,731545,56,7.66
209,Alaska,2019,Other opioids,731545,51,6.97
210,Arizona,1999,Cocaine,5023823,146,2.91
211,Arizona,1999,Heroin,5023823,27,0.54
212,Arizona,1999,Methadone,5023823,22,0.44
213,Arizona,1999,Other narcotics,5023823,126,2.51
214,Arizona,1999,Other opioids,5023823,86,1.71
215,Arizona,2000,Cocaine,5130632,132,2.57
216,Arizona,2000,Heroin,5130632,15,0.29
217,Arizona,2000,Methadone,5130632,18,0.35
218,Arizona,2000,Other narcotics,5130632,138,2.69
219,Arizona,2000,Other opioids,5130632,96,1.87
220,Arizona,2001,Cocaine,5273477,128,2.43
221,Arizona,2001,Heroin,5273477,24,0.46
222,Arizona,2001,Methadone,5273477,29,0.55
223,Arizona,2001,Other narcotics,5273477,147,2.79
224,Arizona,2001,Other opioids,5273477,87,1.65
225,Arizona,2002,Cocaine,5396255,160,2.97
226,Arizona,2002,Heroin,5396255,26,0.48
227,Arizona,2002,Methadone,5396255,61,1.13
228,Arizona,2002,Other narcotics,5396255,141,2.61
229,Arizona,2002,Other opioids,5396255,138,2.56
230,Arizona,2003,Cocaine,5510364,142,2.58
231,Arizona,2003,Heroin,5510364,65,1.18
232,Arizona,2003,Methadone,5510364,71,1.29
233,Arizona,2003,Other narcotics,5510364,95,1.72
234,Arizona,2003,Other opioids,5510364,138,2.5
235,Arizona,2004,Cocaine,5652404,123,2.18
