,State,Opioid Dispensing Rate per 100,Year,my_state
0,Alabama,115.6,2006,AL
1,Alaska,63.4,2006,AK
2,Arizona,74.3,2006,AZ
3,Arkansas,98.3,2006,AR
4,California,51.0,2006,CA
5,Colorado,62.2,2006,CO
6,Connecticut,64.7,2006,CT
7,Delaware,86.6,2006,DE
8,District of Columbia,31.7,2006,DC
9,Florida,79.7,2006,FL
10,Georgia,79.8,2006,GA
11,Hawaii,42.3,2006,HI
12,Idaho,75.6,2006,ID
13,Illinois,55.6,2006,IL
14,Indiana,94.3,2006,IN
15,Iowa,59.3,2006,IA
16,Kansas,77.5,2006,KS
17,Kentucky,122.6,2006,KY
18,Louisiana,109.2,2006,LA
19,Maine,83.6,2006,ME
20,Maryland,60.1,2006,MD
21,Massachusetts,66.0,2006,MA
22,Michigan,80.2,2006,MI
23,Minnesota,50.3,2006,MN
24,Mississippi,102.7,2006,MS
25,Missouri,80.5,2006,MO
26,Montana,79.1,2006,MT
27,Nebraska,64.3,2006,NE
28,Nevada,87.7,2006,NV
29,New Hampshire,75.0,2006,NH
30,New Jersey,54.7,2006,NJ
31,New Mexico,61.8,2006,NM
32,New York,44.2,2006,NY
33,North Carolina,85.2,2006,NC
34,North Dakota,56.0,2006,ND
35,Ohio,87.7,2006,OH
36,Oklahoma,108.7,2006,OK
37,Oregon,91.0,2006,OR
38,Pennsylvania,69.5,2006,PA
39,Rhode Island,78.7,2006,RI
40,South Carolina,90.4,2006,SC
41,South Dakota,50.0,2006,SD
42,Tennessee,124.8,2006,TN
43,Texas,66.8,2006,TX
44,Utah,87.0,2006,UT
45,Vermont,56.9,2006,VT
46,Virginia,67.2,2006,VA
47,Washington,80.8,2006,WA
48,West Virginia,129.9,2006,WV
49,Wisconsin,64.7,2006,WI
50,Wyoming,79.9,2006,WY
0,Alabama,120.3,2007,AL
1,Alaska,66.6,2007,AK
2,Arizona,77.8,2007,AZ
3,Arkansas,108.2,2007,AR
4,California,53.6,2007,CA
5,Colorado,65.9,2007,CO
6,Connecticut,67.5,2007,CT
7,Delaware,92.3,2007,DE
8,District of Columbia,41.2,2007,DC
9,Florida,82.2,2007,FL
10,Georgia,82.5,2007,GA
11,Hawaii,44.5,2007,HI
12,Idaho,78.8,2007,ID
13,Illinois,59.2,2007,IL
14,Indiana,99.7,2007,IN
15,Iowa,57.1,2007,IA
16,Kansas,80.6,2007,KS
17,Kentucky,130.8,2007,KY
18,Louisiana,110.1,2007,LA
19,Maine,85.4,2007,ME
20,Maryland,63.3,2007,MD
21,Massachusetts,68.2,2007,MA
22,Michigan,85.6,2007,MI
23,Minnesota,53.7,2007,MN
24,Mississippi,109.9,2007,MS
25,Missouri,84.3,2007,MO
26,Montana,81.1,2007,MT
27,Nebraska,65.1,2007,NE
28,Nevada,90.2,2007,NV
29,New Hampshire,78.5,2007,NH
30,New Jersey,57.2,2007,NJ
31,New Mexico,69.0,2007,NM
32,New York,46.1,2007,NY
33,North Carolina,87.5,2007,NC
34,North Dakota,59.3,2007,ND
35,Ohio,92.7,2007,OH
36,Oklahoma,114.4,2007,OK
37,Oregon,95.5,2007,OR
38,Pennsylvania,73.7,2007,PA
39,Rhode Island,82.2,2007,RI
40,South Carolina,91.7,2007,SC
41,South Dakota,49.9,2007,SD
42,Tennessee,128.8,2007,TN
43,Texas,71.2,2007,TX
44,Utah,89.8,2007,UT
45,Vermont,56.0,2007,VT
46,Virginia,70.1,2007,VA
47,Washington,84.4,2007,WA
48,West Virginia,135.1,2007,WV
49,Wisconsin,69.2,2007,WI
50,Wyoming,80.8,2007,WY
0,Alabama,126.1,2008,AL
1,Alaska,68.5,2008,AK
2,Arizona,80.9,2008,AZ
3,Arkansas,112.1,2008,AR
4,California,55.1,2008,CA
5,Colorado,67.7,2008,CO
6,Connecticut,68.7,2008,CT
7,Delaware,95.4,2008,DE
8,District of Columbia,34.5,2008,DC
9,Florida,84.3,2008,FL
10,Georgia,86.3,2008,GA
11,Hawaii,46.6,2008,HI
12,Idaho,82.7,2008,ID
13,Illinois,60.2,2008,IL
14,Indiana,103.3,2008,IN
15,Iowa,59.1,2008,IA
16,Kansas,82.7,2008,KS
17,Kentucky,136.6,2008,KY
18,Louisiana,113.7,2008,LA
19,Maine,88.7,2008,ME
20,Maryland,65.5,2008,MD
21,Massachusetts,69.2,2008,MA
22,Michigan,89.9,2008,MI
23,Minnesota,56.5,2008,MN
24,Mississippi,113.2,2008,MS
25,Missouri,86.8,2008,MO
26,Montana,85.3,2008,MT
27,Nebraska,66.2,2008,NE
28,Nevada,97.0,2008,NV
29,New Hampshire,81.7,2008,NH
30,New Jersey,59.5,2008,NJ
31,New Mexico,71.4,2008,NM
32,New York,48.4,2008,NY
33,North Carolina,88.6,2008,NC
34,North Dakota,61.7,2008,ND
35,Ohio,97.5,2008,OH
36,Oklahoma,111.3,2008,OK
37,Oregon,99.1,2008,OR
38,Pennsylvania,76.5,2008,PA
39,Rhode Island,82.9,2008,RI
40,South Carolina,94.1,2008,SC
41,South Dakota,52.1,2008,SD
42,Tennessee,132.9,2008,TN
43,Texas,71.3,2008,TX
44,Utah,91.3,2008,UT
45,Vermont,56.5,2008,VT
46,Virginia,73.0,2008,VA
47,Washington,86.6,2008,WA
48,West Virginia,145.5,2008,WV
49,Wisconsin,70.6,2008,WI
50,Wyoming,81.0,2008,WY
0,Alabama,131.6,2009,AL
1,Alaska,67.3,2009,AK
2,Arizona,84.2,2009,AZ
3,Arkansas,116.0,2009,AR
4,California,55.6,2009,CA
5,Colorado,69.8,2009,CO
6,Connecticut,68.1,2009,CT
7,Delaware,97.5,2009,DE
8,District of Columbia,34.4,2009,DC
9,Florida,86.3,2009,FL
10,Georgia,88.2,2009,GA
11,Hawaii,47.8,2009,HI
12,Idaho,85.2,2009,ID
13,Illinois,61.0,2009,IL
