State,State Code,Deaths,Population,Crude Rate
Alabama,1,1060,98682634,1.1
Alaska,2,298,14569726,2
Arizona,4,2456,130658024,1.9
Arkansas,5,494,60151295,0.8
California,6,9591,776337985,1.2
Colorado,8,2487,104581601,2.4
Connecticut,9,2713,74154436,3.7
Delaware,10,801,18545432,4.3
District of Columbia,11,1111,12923833,8.6
Florida,12,13154,392032107,3.4
Georgia,13,3552,198670995,1.8
Hawaii,15,238,28084286,0.8
Idaho,16,66,32067098,0.2
Illinois,17,10790,266645950,4
Indiana,18,1816,134763304,1.3
Iowa,19,363,63697647,0.6
Kansas,20,537,59137736,0.9
Kentucky,21,1573,89896925,1.7
Louisiana,22,1902,95491059,2
Maine,23,582,27696591,2.1
Maryland,24,4605,120252834,3.8
Massachusetts,25,6859,138027854,5
Michigan,26,5702,209120484,2.7
Minnesota,27,820,110696994,0.7
Mississippi,28,533,61631773,0.9
Missouri,29,2140,124019337,1.7
Montana,30,42,20574410,0.2
Nebraska,31,122,38140443,0.3
Nevada,32,1597,54449934,2.9
New Hampshire,33,744,27433817,2.7
New Jersey,34,6044,183527438,3.3
New Mexico,35,1838,41871705,4.4
New York,36,13959,406513567,3.4
North Carolina,37,6262,195081073,3.2
North Dakota,38,22,14429518,0.2
Ohio,39,10804,241915812,4.5
Oklahoma,40,863,77789801,1.1
Oregon,41,802,79673648,1
Pennsylvania,42,7043,264535246,2.7
Rhode Island,44,1367,22204639,6.2
South Carolina,45,2204,95461790,2.3
South Dakota,46,36,17043864,0.2
Tennessee,47,3705,131259989,2.8
Texas,48,12063,519544055,2.3
Utah,49,1232,56570520,2.2
Vermont,50,334,13051465,2.6
Virginia,51,3422,165355953,2.1
Washington,53,2752,139875922,2
West Virginia,54,1593,38383779,4.2
Wisconsin,55,2777,118193381,2.3
Wyoming,56,58,11452815,0.5
,,157928,6416872524,2.5
