State,State Code,Deaths,Population,Crude Rate
Alabama,1,905,98682634,0.9
Alaska,2,320,14569726,2.2
Arizona,4,2682,130658024,2.1
Arkansas,5,129,60151295,0.2
California,6,9581,776337985,1.2
Colorado,8,2017,104581601,1.9
Connecticut,9,3852,74154436,5.2
Delaware,10,738,18545432,4
District of Columbia,11,686,12923833,5.3
Florida,12,5673,392032107,1.4
Georgia,13,1717,198670995,0.9
Hawaii,15,171,28084286,0.6
Idaho,16,199,32067098,0.6
Illinois,17,7729,266645950,2.9
Indiana,18,2289,134763304,1.7
Iowa,19,393,63697647,0.6
Kansas,20,249,59137736,0.4
Kentucky,21,1933,89896925,2.2
Louisiana,22,1226,95491059,1.3
Maine,23,415,27696591,1.5
Maryland,24,3802,120252834,3.2
Massachusetts,25,4181,138027854,3
Michigan,26,6418,209120484,3.1
Minnesota,27,934,110696994,0.8
Mississippi,28,295,61631773,0.5
Missouri,29,3610,124019337,2.9
Montana,30,97,20574410,0.5
Nebraska,31,66,38140443,0.2
Nevada,32,1134,54449934,2.1
New Hampshire,33,496,27433817,1.8
New Jersey,34,7932,183527438,4.3
New Mexico,35,1614,41871705,3.9
New York,36,9873,406513567,2.4
North Carolina,37,4022,195081073,2.1
North Dakota,38,38,14429518,0.3
Ohio,39,10457,241915812,4.3
Oklahoma,40,485,77789801,0.6
Oregon,41,2291,79673648,2.9
Pennsylvania,42,7250,264535246,2.7
Rhode Island,44,351,22204639,1.6
South Carolina,45,973,95461790,1
South Dakota,46,34,17043864,0.2
Tennessee,47,1932,131259989,1.5
Texas,48,7140,519544055,1.4
Utah,49,1698,56570520,3
Vermont,50,355,13051465,2.7
Virginia,51,4079,165355953,2.5
Washington,53,3204,139875922,2.3
West Virginia,54,1583,38383779,4.1
Wisconsin,55,3038,118193381,2.6
Wyoming,56,61,11452815,0.5
,,132347,6416872524,2.1
