State,State Code,Deaths,Population,Crude Rate
Alabama,1,1047,98682634,1.1
Alaska,2,232,14569726,1.6
Arizona,4,1484,130658024,1.1
Arkansas,5,871,60151295,1.4
California,6,5713,776337985,0.7
Colorado,8,947,104581601,0.9
Connecticut,9,997,74154436,1.3
Delaware,10,337,18545432,1.8
District of Columbia,11,184,12923833,1.4
Florida,12,6446,392032107,1.6
Georgia,13,2215,198670995,1.1
Hawaii,15,267,28084286,1
Idaho,16,333,32067098,1
Illinois,17,2025,266645950,0.8
Indiana,18,985,134763304,0.7
Iowa,19,432,63697647,0.7
Kansas,20,562,59137736,1
Kentucky,21,1827,89896925,2
Louisiana,22,818,95491059,0.9
Maine,23,751,27696591,2.7
Maryland,24,2894,120252834,2.4
Massachusetts,25,1601,138027854,1.2
Michigan,26,2539,209120484,1.2
Minnesota,27,1025,110696994,0.9
Mississippi,28,266,61631773,0.4
Missouri,29,1173,124019337,0.9
Montana,30,312,20574410,1.5
Nebraska,31,183,38140443,0.5
Nevada,32,1602,54449934,2.9
New Hampshire,33,576,27433817,2.1
New Jersey,34,1303,183527438,0.7
New Mexico,35,823,41871705,2
New York,36,5036,406513567,1.2
North Carolina,37,3875,195081073,2
North Dakota,38,44,14429518,0.3
Ohio,39,2430,241915812,1
Oklahoma,40,1629,77789801,2.1
Oregon,41,1690,79673648,2.1
Pennsylvania,42,1810,264535246,0.7
Rhode Island,44,523,22204639,2.4
South Carolina,45,1003,95461790,1.1
South Dakota,46,72,17043864,0.4
Tennessee,47,1855,131259989,1.4
Texas,48,3112,519544055,0.6
Utah,49,1353,56570520,2.4
Vermont,50,241,13051465,1.8
Virginia,51,2098,165355953,1.3
Washington,53,3732,139875922,2.7
West Virginia,54,1148,38383779,3
Wisconsin,55,1466,118193381,1.2
Wyoming,56,81,11452815,0.7
,,75968,6416872524,1.2
