State,State Code,Deaths,Population,Crude Rate
Alabama,1,1492,98682634,1.5
Alaska,2,665,14569726,4.6
Arizona,4,5211,130658024,4
Arkansas,5,1885,60151295,3.1
California,6,20501,776337985,2.6
Colorado,8,3560,104581601,3.4
Connecticut,9,1691,74154436,2.3
Delaware,10,685,18545432,3.7
District of Columbia,11,312,12923833,2.4
Florida,12,16286,392032107,4.2
Georgia,13,5302,198670995,2.7
Hawaii,15,744,28084286,2.6
Idaho,16,857,32067098,2.7
Illinois,17,4270,266645950,1.6
Indiana,18,2954,134763304,2.2
Iowa,19,1295,63697647,2
Kansas,20,1351,59137736,2.3
Kentucky,21,5489,89896925,6.1
Louisiana,22,1708,95491059,1.8
Maine,23,1130,27696591,4.1
Maryland,24,4809,120252834,4
Massachusetts,25,3298,138027854,2.4
Michigan,26,5161,209120484,2.5
Minnesota,27,1864,110696994,1.7
Mississippi,28,1008,61631773,1.6
Missouri,29,3812,124019337,3.1
Montana,30,471,20574410,2.3
Nebraska,31,513,38140443,1.3
Nevada,32,4431,54449934,8.1
New Hampshire,33,925,27433817,3.4
New Jersey,34,4130,183527438,2.3
New Mexico,35,3208,41871705,7.7
New York,36,9339,406513567,2.3
North Carolina,37,7129,195081073,3.7
North Dakota,38,200,14429518,1.4
Ohio,39,8733,241915812,3.6
Oklahoma,40,4845,77789801,6.2
Oregon,41,2193,79673648,2.8
Pennsylvania,42,6437,264535246,2.4
Rhode Island,44,920,22204639,4.1
South Carolina,45,3471,95461790,3.6
South Dakota,46,289,17043864,1.7
Tennessee,47,7486,131259989,5.7
Texas,48,9267,519544055,1.8
Utah,49,5096,56570520,9
Vermont,50,550,13051465,4.2
Virginia,51,4795,165355953,2.9
Washington,53,5166,139875922,3.7
West Virginia,54,4629,38383779,12.1
Wisconsin,55,4027,118193381,3.4
Wyoming,56,396,11452815,3.5
,,195986,6416872524,3.1
